name,description,stock_quantity,image_url,price,category
Linen Summer Dress,"Lightweight linen dress perfect for summer outings.",34,https://images.unsplash.com/photo-1521572163474-6864f9cf17Leather Loafersab?w=600&q=80,79,Fashion
Classic Denim Jacket,"Timeless denim jacket with a modern fit and durable stitching.",42,https://freenotecloth.com/cdn/shop/products/untitled-28.jpg?v=1671127725&width=2048,109,Fashion
Wool Oversized Coat,"Warm oversized wool coat with a sleek, urban design.",27,https://encrypted-tbn3.gstatic.com/shopping?q=tbn:ANd9GcQoPkM-IZuI4uUpQXVprFppyuCIEwOHd15KaziIlzA-XN6CgROfSHU5I3pjl4FkdIi8bBIWrz-BkTAbcQeQCxUuQDdn8HEc34MiB-cuwxL9aivesa4KetAiRQ,149,Fashion
Urban Street Hoodie,"Casual streetwear hoodie with soft cotton blend fabric.",58,https://images.unsplash.com/photo-1503341455253-b2e723bb3dbb?w=600&q=80,69,Fashion
Rose Glow Serum,"Hydrating serum with rose extract for glowing skin.",75,https://m.media-amazon.com/images/I/51IzQOVxsUL.jpg,45,Beauty
Matte Lipstick Set,"Long-lasting matte lipstick set in multiple shades.",60,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcR1EIErX7tL7oYRQ_IUeujPAPtjinoElkYFNXMMhBYQALkkSQCAEPmXErJoBGMygnJht5xY1i4ZclCeXOVQiLmlHYCWW0mMgIPmGPSPlDsNw90bWmXavxZp1IA,59,Beauty
Natural Face Cream,"Organic face cream that nourishes and revitalizes skin.",52,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcS6n-HS6fHnDC5e9tMcPd4m-eLglYyytG4_LJnRcEY63ZzLxreudzczBNBd2H-r2x0bsFQaC80Brpr8Gpq6nw_r7xH0fk_Igo3M66ljJ8pCSmJqBybgvqnvsws,38,Beauty
Essential Oil Kit,"Aromatherapy essential oil kit for relaxation and wellness.",39,https://m.media-amazon.com/images/I/51mEaKDw+WL.jpg,65,Beauty
Noise-Cancel Headphones,"Premium over-ear headphones with advanced noise cancellation.",21,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcTT88mjqZQcvpZX3ah2eRzmsk3WFlS6-Qz_yxJAUy23kCMygmHTmicwKAcCtb2_xG2s1q-f7l5Cqh-_70R9IxfPUFbv9scymUUvPfII4-uM2E_Bkm8gHNx0NA,199,Electronics
Smartwatch Pro X,"Feature-packed smartwatch with heart rate monitor and GPS.",44,/watch.jpeg,229,Electronics
Wireless Earbuds 2.0,"Compact wireless earbuds with long battery life and clear sound.",53,/er1.jpg,129,Electronics
UltraHD Mini Projector,"Portable projector offering crystal-clear HD visuals.",19,https://m.media-amazon.com/images/I/51GTqntMW8L.jpg,299,Electronics
AirFlex Running Shoes,"Lightweight running shoes designed for performance and comfort.",63,https://encrypted-tbn2.gstatic.com/shopping?q=tbn:ANd9GcRzkUh4drY9cNiVwNRkpHT72kmwuXYIpWgU05SKWiG8_QcOyDQaTDqGKO8l1yn3Nr2-h2AHRQjrMbq9oA6aA14IU85xR7X2W2ew8v1lHzCewXwUAVjqXd4BXA,129,Shoes
Leather Shoes,"Premium leather shoes with classic styling and durable sole.",38,https://encrypted-tbn1.gstatic.com/shopping?q=tbn:ANd9GcSBx-52ta3T0Udk7PILe7RJa3ElOukj8rJtofsgxcnOgZ5OQ47apxbfa2mVBxg3Z9Ti5_qYGZhfwoPxTC3yf8kq7Z-nWY6c6DgNf7kxS0zAyk_Wz_OB7HI8bQ,99,Shoes
SportLite Trainers,"Performance trainers with breathable fabric and cushioning soles.",47,https://m.media-amazon.com/images/I/51yfBZvjlcL._UY350_.jpg,119,Shoes
Canvas Slip-Ons,"Casual slip-on canvas shoes for everyday comfort.",56,https://xcdn.next.co.uk/common/items/default/default/itemimages/3_4Ratio/product/lge/C51643s.jpg?im=Resizewidth=750,79,Shoes
Stainless Pan Set,"Durable stainless steel cookware set for modern kitchens.",33,https://m.media-amazon.com/images/I/71DKw+61VEL.jpg,149,Kitchen
Glass Storage Jars,"Set of airtight glass jars for kitchen storage and organization.",72,https://m.media-amazon.com/images/I/61OYfGDQ88L._AC_UF8941000_QL80_.jpg,49,Kitchen
Chef Knife Pro,"Professional-grade chef knife for precise cutting and durability.",46,https://media.takealot.com/covers_images/171bf2e470a1494eb985be7f5a12b3b6/s-pdpxl.file,89,Kitchen
Modern Coffee Maker,"Automatic coffee maker with modern design and easy controls.",29,https://images.philips.com/is/image/philipsconsumer/vrs_a6f229ac53eb2ad8dcf9e281050310d76783fec6?$pnglarge$&wid=960,199,Kitchen
